1338,"Aerolineas Galapagos (Aerogal)","Quito","Ecuador","Manta","Ecuador",0
2750,"Helvetic Airways","Brindisi","Italy","Bern","Switzerland",0
2750,"Helvetic Airways","Brindisi","Italy","Zurich","Switzerland",0
2750,"Helvetic Airways","Bari","Italy","Zurich","Switzerland",0
2750,"Helvetic Airways","Bern","Switzerland","Brindisi","Italy",0
2750,"Helvetic Airways","Bern","Switzerland","Palma de Mallorca","Spain",0
2750,"Helvetic Airways","Cardiff","United Kingdom","Zurich","Switzerland",0
2750,"Helvetic Airways","Palma de Mallorca","Spain","Bern","Switzerland",0
2750,"Helvetic Airways","Laage","Germany","Zurich","Switzerland",0
2750,"Helvetic Airways","Zurich","Switzerland","Brindisi","Italy",0
2750,"Helvetic Airways","Zurich","Switzerland","Bari","Italy",0
2750,"Helvetic Airways","Zurich","Switzerland","Cardiff","United Kingdom",0
2750,"Helvetic Airways","Zurich","Switzerland","Laage","Germany",0
3529,"Moldavian Airlines","Budapest","Hungary","Kichinau Fir/acc/com","Moldova",0
3529,"Moldavian Airlines","Kichinau Fir/acc/com","Moldova","Budapest","Hungary",0
3529,"Moldavian Airlines","Kichinau Fir/acc/com","Moldova","Istanbul","Turkey",0
3529,"Moldavian Airlines","Istanbul","Turkey","Kichinau Fir/acc/com","Moldova",0
5501,"Yuzhmashavia","Arvidsjaur","Sweden","Lycksele","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Hagfors","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Kramfors","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Lycksele","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Mora","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Visby","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Vilhelmina","Sweden",0
5501,"Yuzhmashavia","Stockholm","Sweden","Östersund","Sweden",0
5501,"Yuzhmashavia","Copenhagen","Denmark","Linkoeping","Sweden",0
5501,"Yuzhmashavia","Sveg","Sweden","Mora","Sweden",0
5501,"Yuzhmashavia","Gallivare","Sweden","Kramfors","Sweden",0
5501,"Yuzhmashavia","Hagfors","Sweden","Stockholm","Sweden",0
5501,"Yuzhmashavia","Hagfors","Sweden","Torsby","Sweden",0
5501,"Yuzhmashavia","Hemavan","Sweden","Vilhelmina","Sweden",0
5501,"Yuzhmashavia","Kramfors","Sweden","Stockholm","Sweden",0
5501,"Yuzhmashavia","Kramfors","Sweden","Gallivare","Sweden",0
